scenario_id,scenario_type,asset_type,threat_category,vulnerability_score,asset_importance,exposure_level,security_maturity,control_effectiveness,threat_intensity,incident_likelihood,data_sensitivity,estimated_financial_impact,risk_score,risk_level,response_priority
RISK-0001,Credential Compromise,Endpoint PC,Phishing,3.75,3,7,8,5,8,0.47,5,2432029,97.88,High,1순위
RISK-0002,Insider Threat,Web Server,Brute Force,9.51,9,2,5,2,3,0.83,4,1546223,100.0,High,1순위
RISK-0003,Credential Compromise,Endpoint PC,C2 Communication,7.32,5,2,9,9,1,0.81,1,1312515,56.04,Medium,2순위
RISK-0004,External Attack,Cloud Service,Data Exfiltration,5.99,8,10,10,1,1,0.51,5,2717245,100.0,High,1순위
RISK-0005,Insider Threat,Database Server,Brute Force,1.56,7,10,5,2,1,0.69,10,2717606,100.0,High,1순위
RISK-0006,Insider Threat,Web Server,Phishing,1.56,8,1,5,1,4,0.22,7,2370577,84.78,High,1순위
RISK-0007,Service Disruption,Endpoint PC,DDoS,0.58,7,4,2,4,6,0.67,1,1983279,89.82,High,1순위
RISK-0008,Service Disruption,File Server,DDoS,8.66,3,7,3,4,4,0.3,4,1417266,100.0,High,1순위
RISK-0009,Service Disruption,Web Server,Phishing,6.01,2,9,10,5,3,0.8,6,1977841,92.9,High,1순위
RISK-0010,Service Disruption,Web Server,Data Exfiltration,7.08,7,3,9,5,8,0.13,9,1898093,100.0,High,1순위
RISK-0011,Data Leakage,Web Server,Brute Force,0.21,3,7,7,8,8,0.75,8,1457289,79.73,High,1순위
RISK-0012,Malware Infection,Endpoint PC,DDoS,9.7,3,7,1,3,6,0.14,2,1259239,100.0,High,1순위
RISK-0013,Service Disruption,VPN Server,DDoS,8.32,2,7,3,6,9,0.84,3,2324614,100.0,High,1순위
RISK-0014,External Attack,Cloud Service,C2 Communication,2.12,4,2,2,3,10,0.32,10,2223118,100.0,High,1순위
RISK-0015,Insider Threat,Web Server,Vulnerability Exploitation,1.82,8,6,1,2,1,0.64,5,2864496,100.0,High,1순위
RISK-0016,Credential Compromise,File Server,C2 Communication,1.83,1,2,9,8,8,0.49,7,1366049,42.3,Medium,2순위
RISK-0017,Service Disruption,File Server,Vulnerability Exploitation,3.04,1,6,8,1,6,0.38,3,1624959,68.32,Medium,2순위
RISK-0018,External Attack,Database Server,DDoS,5.25,5,10,5,9,1,0.63,7,2791280,100.0,High,1순위
RISK-0019,Data Leakage,VPN Server,Vulnerability Exploitation,4.32,5,3,2,7,4,0.9,5,2804124,100.0,High,1순위
RISK-0020,External Attack,VPN Server,Brute Force,2.91,1,2,1,10,5,0.09,10,1304313,60.26,Medium,2순위
RISK-0021,Credential Compromise,Endpoint PC,DDoS,6.12,6,6,7,4,7,0.88,6,1949244,100.0,High,1순위
RISK-0022,Credential Compromise,Database Server,DDoS,1.39,1,2,2,3,8,0.6,6,1624969,79.1,High,1순위
RISK-0023,External Attack,Endpoint PC,Vulnerability Exploitation,2.92,5,5,1,6,9,0.78,4,2063206,100.0,High,1순위
RISK-0024,Data Leakage,Database Server,Phishing,3.66,9,2,2,9,6,0.4,8,2233136,100.0,High,1순위
RISK-0025,Credential Compromise,Cloud Service,Vulnerability Exploitation,4.56,5,3,7,9,10,0.47,9,2587802,100.0,High,1순위
RISK-0026,Data Leakage,VPN Server,Vulnerability Exploitation,7.85,6,3,7,4,9,0.83,2,2208055,100.0,High,1순위
RISK-0027,Insider Threat,Cloud Service,Data Exfiltration,2.0,8,6,10,10,4,0.42,9,2849106,77.87,High,1순위
RISK-0028,Service Disruption,Endpoint PC,Data Exfiltration,5.14,1,6,6,5,8,0.53,4,2020793,100.0,High,1순위
RISK-0029,Credential Compromise,Database Server,Brute Force,5.92,2,10,5,9,3,0.07,6,2000277,100.0,High,1순위
RISK-0030,External Attack,VPN Server,Brute Force,0.46,9,3,3,2,4,0.19,7,2477953,94.07,High,1순위
RISK-0031,Malware Infection,VPN Server,Phishing,6.08,3,3,3,2,10,0.63,4,1943990,100.0,High,1순위
RISK-0032,Malware Infection,Web Server,Data Exfiltration,1.71,6,1,9,5,4,0.7,8,2469720,63.88,Medium,2순위
RISK-0033,Insider Threat,Endpoint PC,C2 Communication,0.65,5,7,4,1,6,0.57,10,1768563,100.0,High,1순위
RISK-0034,Malware Infection,Web Server,Brute Force,9.49,2,8,9,8,9,0.18,8,2193077,100.0,High,1순위
RISK-0035,Insider Threat,VPN Server,Brute Force,9.66,7,2,4,5,6,0.45,1,2093408,100.0,High,1순위
RISK-0036,Service Disruption,Endpoint PC,Data Exfiltration,8.08,4,4,2,10,1,0.37,8,2433052,100.0,High,1순위
RISK-0037,Insider Threat,Endpoint PC,Data Exfiltration,3.05,1,10,4,2,5,0.5,10,2070947,100.0,High,1순위
RISK-0038,Data Leakage,Cloud Service,Phishing,0.98,4,7,6,9,9,0.83,3,1409700,84.95,High,1순위
RISK-0039,Data Leakage,File Server,Data Exfiltration,6.84,6,8,6,2,5,0.75,5,1786025,100.0,High,1순위
RISK-0040,Data Leakage,Database Server,Vulnerability Exploitation,4.4,7,1,5,7,6,0.13,10,2725524,94.79,High,1순위
RISK-0041,Credential Compromise,File Server,DDoS,1.22,7,4,1,8,3,0.85,8,2736759,95.87,High,1순위
RISK-0042,Data Leakage,File Server,C2 Communication,4.95,7,6,3,6,8,0.47,6,2197035,100.0,High,1순위
RISK-0043,Data Leakage,VPN Server,DDoS,0.34,3,3,5,7,10,0.72,4,1265663,64.37,Medium,2순위
RISK-0044,Data Leakage,Cloud Service,Vulnerability Exploitation,9.09,6,5,6,1,4,0.18,4,1944170,100.0,High,1순위
RISK-0045,Data Leakage,Database Server,Vulnerability Exploitation,2.59,8,10,1,4,4,0.65,4,1898963,100.0,High,1순위
RISK-0046,Credential Compromise,File Server,DDoS,6.63,4,9,9,7,5,0.26,6,2711061,100.0,High,1순위
RISK-0047,Data Leakage,File Server,Vulnerability Exploitation,3.12,8,3,3,1,10,0.44,7,2784664,100.0,High,1순위
RISK-0048,Data Leakage,Endpoint PC,Brute Force,5.2,2,5,10,1,9,0.07,5,2515916,93.92,High,1순위
RISK-0049,Service Disruption,VPN Server,DDoS,5.47,10,8,3,6,8,0.19,10,2859679,100.0,High,1순위
RISK-0050,Credential Compromise,File Server,Vulnerability Exploitation,1.85,9,6,2,4,7,0.13,8,3023383,100.0,High,1순위
RISK-0051,Data Leakage,Database Server,Brute Force,9.7,9,4,8,3,5,0.27,7,2471473,100.0,High,1순위
RISK-0052,Insider Threat,Web Server,Data Exfiltration,7.75,8,8,3,5,9,0.14,8,2169005,100.0,High,1순위
RISK-0053,Service Disruption,Web Server,C2 Communication,9.39,10,3,6,9,9,0.67,4,1937479,100.0,High,1순위
RISK-0054,Credential Compromise,VPN Server,C2 Communication,8.95,10,3,2,10,10,0.08,8,3197555,100.0,High,1순위
RISK-0055,Malware Infection,Web Server,Vulnerability Exploitation,5.98,1,4,7,10,10,0.61,6,1360835,91.8,High,1순위
RISK-0056,External Attack,Endpoint PC,C2 Communication,9.22,2,9,4,10,2,0.18,3,1655947,100.0,High,1순위
RISK-0057,Credential Compromise,Endpoint PC,Brute Force,0.88,6,5,9,3,4,0.9,8,2457940,85.88,High,1순위
RISK-0058,Service Disruption,Database Server,Data Exfiltration,1.96,10,8,10,5,8,0.89,7,2706975,100.0,High,1순위
RISK-0059,Data Leakage,Cloud Service,Vulnerability Exploitation,0.45,5,6,9,10,1,0.25,10,1634442,37.37,Low,3순위
RISK-0060,Service Disruption,VPN Server,Phishing,3.25,9,3,7,5,5,0.6,5,2560592,100.0,High,1순위
RISK-0061,External Attack,VPN Server,DDoS,3.89,5,8,8,9,8,0.08,4,1791523,94.44,High,1순위
RISK-0062,External Attack,Web Server,C2 Communication,2.71,2,9,3,10,2,0.89,1,1304912,60.32,Medium,2순위
RISK-0063,Credential Compromise,File Server,C2 Communication,8.29,10,8,5,4,2,0.52,10,2812850,100.0,High,1순위
RISK-0064,Data Leakage,File Server,Vulnerability Exploitation,3.57,4,4,2,1,8,0.09,3,1940486,100.0,High,1순위
RISK-0065,Data Leakage,Cloud Service,DDoS,2.81,9,6,10,10,10,0.36,2,2078523,97.17,High,1순위
RISK-0066,Insider Threat,File Server,DDoS,5.43,1,1,7,5,9,0.12,8,1887206,77.45,High,1순위
RISK-0067,External Attack,Cloud Service,C2 Communication,1.41,1,4,8,1,7,0.4,8,2034337,75.22,High,1순위
RISK-0068,Data Leakage,Database Server,C2 Communication,8.02,7,8,9,6,8,0.65,5,3038766,100.0,High,1순위
RISK-0069,External Attack,VPN Server,Phishing,0.75,3,1,7,10,5,0.47,5,676848,17.04,Low,3순위
RISK-0070,Insider Threat,Web Server,DDoS,9.87,10,3,10,10,1,0.4,4,2676217,99.08,High,1순위
RISK-0071,Malware Infection,Database Server,Brute Force,7.72,2,1,10,7,4,0.16,1,874038,43.43,Medium,2순위
RISK-0072,External Attack,Endpoint PC,Vulnerability Exploitation,1.99,9,9,8,1,2,0.27,1,1978035,94.95,High,1순위
RISK-0073,Insider Threat,Endpoint PC,Vulnerability Exploitation,0.06,3,2,9,10,3,0.14,6,467841,0.0,Low,3순위
RISK-0074,Insider Threat,Endpoint PC,Phishing,8.15,2,9,6,4,3,0.78,4,1494460,100.0,High,1순위
RISK-0075,Insider Threat,Cloud Service,Phishing,7.07,8,4,10,9,9,0.17,4,1796044,100.0,High,1순위
RISK-0076,Service Disruption,Cloud Service,Brute Force,7.29,10,2,2,1,10,0.59,3,2536007,100.0,High,1순위
